Id,Process Name,Physical Memory
854,IMRemoteURLConnectionAgent,2179072
849,ContextService,11104256
729,AMPLibraryAgent,75309056
662,com.apple.siri.ClientFlow.ClientScripter,10907648
660,UsageTrackingAgent,8269824
643,zsh,1589248
640,pidinfo,2256896
638,followupd,4509696
637,zsh,9678848
635,photoanalysisd,111628288
633,iTermServer-3.4.3,688128
631,adprivacyd,17993728
630,ContainerMetadataExtractor,12247040
624,AssetCacheLocatorService,10993664
623,mariadbd,84807680
605,CMFSyncAgent,8228864
582,PlugInLibraryService,1953792
581,SidecarRelay,4919296
569,CoreLocationAgent,15216640
561,progressd,11612160
557,iTerm2,242311168
548,Itsycal,43040768
547,TextInputSwitcher,18526208
543,Spectacle,21979136
540,neagent,8400896
536,ctkahp,5791744
534,amsaccountsd,14041088
533,TextInputMenuAgent,189890560
532,bash,1269760
530,cloudpaird,17510400
529,AirPlayUIAgent,13090816
528,httpd,17907712
526,askpermissiond,11694080
525,icdd,11493376
524,Siri,19320832
518,corespeechd,16330752
516,Microsoft Edge,937738240
514,spindump_agent,3661824
512,MusicCacheExtension,10919936
511,TVCacheExtension,10727424
510,IMRemoteURLConnectionAgent,9621504
509,fmfd,57118720
507,VTDecoderXPCService,22609920
505,ReportCrash,3801088
504,CacheDeleteExtension,13217792
503,com.apple.audio.SandboxHelper,3256320
502,com.apple.siri.embeddedspeech,216682496
501,CarbonComponentScannerXPC,6688768
499,AudioComponentRegistrar,6963200
498,replayd,9392128
496,diagnostics_agent,8704000
495,storedownloadd,9670656
490,appstoreagent,81346560
488,suggestd,46252032
486,assistantd,43143168
484,corespotlightd,28635136
483,IMRemoteURLConnectionAgent,9289728
482,deleted,9646080
481,IMRemoteURLConnectionAgent,9396224
480,mediaremoteagent,3403776
479,familycircled,58261504
478,IMRemoteURLConnectionAgent,10076160
477,SafeEjectGPUService,5337088
476,SafeEjectGPUAgent,3399680
474,diagnosticextensionsd,11902976
472,UIKitSystem,45150208
471,ctkd,8335360
470,com.apple.CharacterPicker.FileService,3653632
469,pbs,6008832
468,commerce,65122304
467,EmojiFunctionRowIM_Extension,23846912
466,PAH_Extension,13004800
465,QuickLookSatellite,44425216
464,imklaunchagent,7876608
463,triald,11972608
460,parsecd,18608128
459,FinderSyncExtension,77434880
458,FinderSync,33042432
457,Spotlight,35725312
456,com.apple.geod,21446656
455,AppSSOAgent,16539648
454,com.apple.CloudDocs.MobileDocumentsFileProvider,10563584
453,IMDPersistenceAgent,26374144
452,ContextStoreAgent,27869184
451,fileproviderd,12181504
450,imagent,20750336
449,ScopedBookmarkAgent,4673536
447,PhotosReliveWidget,72757248
446,AMPDeviceDiscoveryAgent,8413184
444,ScreenTimeWidgetExtension,54407168
443,WeatherWidget,58929152
441,com.apple.Notes.WidgetExtension,42684416
440,callservicesd,28639232
438,CallHistoryPluginHelper,9568256
436,WiFiVelocityAgent,5267456
434,CloudKeychainProxy,22044672
432,CoreServicesUIAgent,17006592
431,Keychain Circle Notification,17276928
430,ProtectedCloudKeySyncing,9314304
429,cdpd,5562368
428,sharingd,103079936
427,CalNCService,23236608
426,com.apple.quicklook.ThumbnailsAgent,15044608
425,com.apple.dock.extra,35545088
424,ContactsAccountsService,12308480
423,useractivityd,12222464
422,sharedfilelistd,11968512
421,WiFiAgent,17670144
420,iconservicesagent,25075712
419,homed,27459584
418,akd,64045056
417,dmd,11673600
416,ScreenTimeAgent,37965824
415,identityservicesd,28143616
414,lockoutagent,9187328
413,routined,49582080
412,photolibraryd,79147008
411,itunescloudd,64782336
410,rapportd,18223104
409,tccd,15093760
408,CalendarAgent,80814080
407,ControlStrip,40374272
406,APFSUserAgent,2625536
405,networkserviceproxy,8413184
404,nsurlsessiond,35311616
403,CommCenter,25767936
402,fontworker,10637312
401,cloudd,104546304
400,accountsd,52154368
399,fontd,14446592
398,pkd,13328384
397,NotificationCenter,39698432
396,containermanagerd,17756160
394,bird,22470656
393,secinitd,9637888
392,QuickLookUIService,13000704
391,pboard,8011776
390,com.apple.hiservices-xpcservice,3502080
389,usernoted,15929344
388,ViewBridgeAuxiliary,10199040
387,TrustedPeersHelper,14135296
386,trustd,41086976
383,backgroundtaskmanagementagent,7155712
382,Finder,198713344
381,SystemUIServer,30347264
380,ControlCenter,40984576
379,Dock,58949632
378,talagent,14213120
377,secd,68538368
376,lsd,15073280
375,knowledge-agent,24731648
374,universalaccessd,11243520
373,com.apple.sbd,64450560
371,UserEventAgent,14704640
369,cfprefsd,6877184
368,coreauthd,7380992
367,distnoted,12013568
135,loginwindow,353812480
